Date,Year,Month,Date Label,Civilian Non-institutional Population,Civilian Labor Force,Labor Force Participation Rate,Employed,Employment Rate,Unemployed,Unemployment Rate
01/01/2007 12:00:00 AM,2007,01,Jan 2007,4312014,2973568,69,2864870,66.4,108698,3.7
02/01/2007 12:00:00 AM,2007,02,Feb 2007,4314108,2970937,68.9,2864666,66.4,106271,3.6
03/01/2007 12:00:00 AM,2007,03,Mar 2007,4316235,2968053,68.8,2863964,66.4,104089,3.5
04/01/2007 12:00:00 AM,2007,04,Apr 2007,4318781,2965743,68.7,2863381,66.3,102362,3.5
05/01/2007 12:00:00 AM,2007,05,May 2007,4321081,2964741,68.6,2863307,66.3,101434,3.4
06/01/2007 12:00:00 AM,2007,06,Jun 2007,4323615,2965230,68.6,2863969,66.2,101261,3.4
07/01/2007 12:00:00 AM,2007,07,Jul 2007,4326118,2966862,68.6,2865296,66.2,101566,3.4
08/01/2007 12:00:00 AM,2007,08,Aug 2007,4329119,2969124,68.6,2867129,66.2,101995,3.4
09/01/2007 12:00:00 AM,2007,09,Sep 2007,4332260,2971577,68.6,2869542,66.2,102035,3.4
10/01/2007 12:00:00 AM,2007,10,Oct 2007,4335243,2973802,68.6,2872323,66.3,101479,3.4
11/01/2007 12:00:00 AM,2007,11,Nov 2007,4337998,2975689,68.6,2875324,66.3,100365,3.4
12/01/2007 12:00:00 AM,2007,12,Dec 2007,4340521,2977656,68.6,2878453,66.3,99203,3.3
01/01/2008 12:00:00 AM,2008,01,Jan 2008,4342905,2979991,68.6,2881089,66.3,98902,3.3
02/01/2008 12:00:00 AM,2008,02,Feb 2008,4344772,2982769,68.7,2882735,66.3,100034,3.4
03/01/2008 12:00:00 AM,2008,03,Mar 2008,4346938,2986217,68.7,2883236,66.3,102981,3.4
04/01/2008 12:00:00 AM,2008,04,Apr 2008,4349192,2990264,68.8,2882606,66.3,107658,3.6
05/01/2008 12:00:00 AM,2008,05,May 2008,4351442,2994717,68.8,2881167,66.2,113550,3.8
06/01/2008 12:00:00 AM,2008,06,Jun 2008,4354007,2999538,68.9,2879383,66.1,120155,4
07/01/2008 12:00:00 AM,2008,07,Jul 2008,4356418,3004426,69,2877410,66,127016,4.2
08/01/2008 12:00:00 AM,2008,08,Aug 2008,4360469,3009085,69,2875001,65.9,134084,4.5
09/01/2008 12:00:00 AM,2008,09,Sep 2008,4364380,3013634,69.1,2871664,65.8,141970,4.7
10/01/2008 12:00:00 AM,2008,10,Oct 2008,4368415,3018207,69.1,2866984,65.6,151223,5
11/01/2008 12:00:00 AM,2008,11,Nov 2008,4372021,3022477,69.1,2860729,65.4,161748,5.4
12/01/2008 12:00:00 AM,2008,12,Dec 2008,4375176,3026042,69.2,2853106,65.2,172936,5.7
01/01/2009 12:00:00 AM,2009,01,Jan 2009,4378599,3028765,69.2,2844852,65,183913,6.1
02/01/2009 12:00:00 AM,2009,02,Feb 2009,4381626,3030766,69.2,2836954,64.7,193812,6.4
03/01/2009 12:00:00 AM,2009,03,Mar 2009,4384547,3032199,69.2,2830424,64.6,201775,6.7
04/01/2009 12:00:00 AM,2009,04,Apr 2009,4387555,3033061,69.1,2825729,64.4,207332,6.8
05/01/2009 12:00:00 AM,2009,05,May 2009,4390739,3033247,69.1,2822386,64.3,210861,7
06/01/2009 12:00:00 AM,2009,06,Jun 2009,4393922,3032958,69,2819760,64.2,213198,7
07/01/2009 12:00:00 AM,2009,07,Jul 2009,4397413,3032522,69,2817284,64.1,215238,7.1
08/01/2009 12:00:00 AM,2009,08,Aug 2009,4401975,3032228,68.9,2814713,63.9,217515,7.2
09/01/2009 12:00:00 AM,2009,09,Sep 2009,4406548,3032186,68.8,2811931,63.8,220255,7.3
10/01/2009 12:00:00 AM,2009,10,Oct 2009,4411347,3032767,68.7,2808995,63.7,223772,7.4
11/01/2009 12:00:00 AM,2009,11,Nov 2009,4415406,3034991,68.7,2806870,63.6,228121,7.5
12/01/2009 12:00:00 AM,2009,12,Dec 2009,4419022,3039460,68.8,2806783,63.5,232677,7.7
